,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
25,0.006516,0.000134,0.026153,0.038888,0.000883,0.000506,0.029043,0.001651,0.024472,0.00062,0.001032,0.026232,0.00001,0.000134,0.001032,0.003441,0.003441,0.004005,0.000314,0.003422,4,7,12,3,9
26,0.108496,0.01308,0.00206,0.056479,0.096463,0.003713,0.005654,0.085957,0.048205,0.012008,0.067245,0.042395,0.028077,0.000022,0.067933,0.012139,0.012139,0.023381,0.008561,0.016649,1,5,8,15,11
27,0.026462,0.006675,0.001125,0.034687,0.036521,0.023756,0.013717,0.024613,0.00581,0.001901,0.015393,0.010177,0.010688,0.002677,0.029296,0.000161,0.000161,0.000684,0.007792,0.002907,5,4,15,1,8
28,0.037802,0.023549,0.002411,0.051554,0.060681,0.009822,0.003857,0.073327,0.065332,0.002714,0.025095,0.035854,0.008987,0.001271,0.035854,0.025192,0.025192,0.009387,0.027802,0.03332,8,9,5,4,1
29,0.005342,0.001673,0,0.115418,0.330037,0.031864,0.000099,0.005342,0.015378,0.142017,0.181525,0.014519,0.05174,0.001673,0.011353,0.203975,0.203975,0.397625,0.000099,0.001673,18,5,16,17,11
30,0.198083,0.221664,0.00117,0.252728,0.254518,0.313193,0.112804,0.198083,0.1542,0.017421,0.1542,0.005667,0.181531,0.000358,0.118236,0.014311,0.014311,0.032156,0.005667,0.071904,6,5,4,2,1
31,0.001901,0.000693,0.000586,0.023236,0.011449,0.001486,0.000178,0.019542,0.000031,0.001352,0.01123,0.00054,0.000244,0.000665,0.012096,0.000145,0.000145,0.011869,0.010764,0.008354,4,8,15,18,5
32,0.000185,0.00555,0.002031,0.006217,0.006976,0.001506,0.00151,0.006847,0.001261,0.001748,0.010213,0.002388,0.007045,0.006341,0.005122,0.006058,0.00357,0.018382,0.009392,0.008241,18,11,19,20,13
33,0.000084,0.004979,0.000515,0.013708,0.007482,0.000052,0.000107,0.015979,0.000001,0.000001,0.012091,0.003969,0.006441,0.006786,0.001847,0.000668,0.000742,0.019141,0.011562,0.011248,18,8,4,11,19
34,0.003302,0.00006,0.000013,0.018811,0.013082,0.001459,0.004531,0.015361,0.003956,0.001782,0.013628,0.002525,0.002228,0.001615,0.004285,0.00002,0,0.007879,0.000167,0.001002,4,8,11,5,18
35,0.002882,0.006897,0.000708,0.014854,0.014195,0.002832,0.004045,0.016357,0.000285,0.00285,0.017899,0.001537,0.007679,0.004626,0.009469,0.003387,0.003321,0.026318,0.005636,0.005363,18,11,8,4,5
36,0.018092,0.000346,0.023894,0.02609,0.01861,0.00758,0.000151,0.007145,0.005227,0.000504,0.018249,0,0.032024,0.000346,0.021235,0.014358,0.014358,0.000955,0.021083,0.021627,13,4,3,20,15
37,0.005955,0.052076,0.038912,0.001095,0.004505,0.052333,0.00726,0.025331,0.001602,0.061424,0.000179,0,0.001367,0.052076,0.045976,0.076353,0.076353,0.014764,0.002063,0.003971,16,17,10,6,2
38,0.283222,0.015708,0.019527,0.06293,0.084105,0.262999,0.193493,0.001516,0.096692,0.003212,0.023132,0.03648,0.007797,0.013174,0.013174,0.009096,0.009096,0.003212,0.032309,0.127774,1,6,7,20,9
39,0.127774,0.024681,0,0.072922,0.244849,0.029331,0.044718,0.065259,0.013228,0.115138,0.127774,0.06293,0.110952,0.024681,0.115138,0.075907,0.075907,0.06293,0.093231,0.111162,5,1,11,10,15
40,0.124511,0.048678,0.308071,0.226004,0.295807,0,0.052849,0.226004,0.124511,0.030305,0.124511,0,0.006584,0.048678,0.06046,0.010254,0.010254,0.124511,0.020571,0.030305,3,5,4,8,1
41,0.032695,0.000189,0.028952,0.01382,0.052003,0.021846,0.015027,0.026364,0.015099,0.004414,0.053612,0.005481,0.009907,0.000189,0.021267,0.019196,0.019196,0.034878,0.074654,0.02518,19,11,5,18,1
42,0.019176,0.029881,0.033124,0.072027,0.049739,0.019156,0.000801,0.067019,0.000033,0.00476,0.031764,0,0.052147,0.029881,0.057902,0.001904,0.001904,0.000297,0.041435,0.025806,4,8,15,13,5
43,0.072975,0.0027,0.000708,0.039194,0.086796,0.032303,0.014594,0.010728,0.029483,0.004942,0.08127,0,0.064273,0.0027,0.058286,0.027521,0.027521,0.045113,0.072974,0.058221,5,11,1,19,13
44,0.039633,0.011785,0,0.093666,0.0873,0.043905,0.026567,0.025043,0.004129,0.014318,0.039633,0,0.000015,0.002876,0.009791,0.002822,0.002822,0.039633,0.004129,0.02959,4,5,6,1,11
45,0.207128,0.38994,0,0.121784,0.031063,0.05626,0.139129,0.214769,0.14371,0.091098,0.013639,0,0.121784,0.38994,0.000491,0.306039,0.306039,0.214769,0.033356,0.025924,2,14,16,17,8
46,0.114317,0.016097,0.079525,0.016097,0.097605,0.114317,0.009714,0.136122,0.004415,0.067525,0.166583,0.005034,0.093999,0.016097,0.261911,0.021383,0.021383,0.048776,0.166764,0.048776,15,19,11,8,1
47,0.028788,0.000005,0.003427,0.050109,0.043339,0.02376,0.014944,0,0.0067,0.000121,0.043496,0.010318,0.046902,0.000005,0.034951,0.005047,0.005047,0.039904,0.031657,0.03584,4,13,11,5,18
48,0.035389,0.00458,0.05995,0.028502,0.098637,0,0.000113,0.033511,0.016684,0.051047,0.126498,0.065266,0.064923,0.00458,0.011371,0.000013,0.000013,0.084045,0.015899,0.026221,11,5,18,12,13
49,0.042771,0.004228,0.01954,0.050286,0.060085,0.0291,0.000313,0.081022,0.037868,0.034708,0.05002,0.02074,0.051355,0.004228,0.089712,0.019535,0.019535,0.02074,0.005292,0.016649,15,8,5,13,4
50,0.012035,0.012035,0.020108,0.004136,0.086134,0.012035,0.038502,0.004491,0.039068,0.0005,0.039068,0,0.082219,0.01289,0.05799,0.059579,0.059579,0.142572,0.02675,0.059722,18,5,13,20,16
51,0.122247,0,0.30002,0.382291,0.171129,0.459148,0.198909,0.122247,0.040656,0,0.171129,0,0.171129,0.040656,0.235653,0.30002,0.30002,0.040656,0.040656,0.040656,6,4,3,16,17
52,0.000172,0.003811,0.077848,0.005542,0.000129,0.000069,0.002888,0.013984,0.000039,0,0.000603,0.002081,0.006988,0.003811,0.000129,0.002644,0.002644,0.002741,0.001602,0.006513,3,8,13,20,4
53,0.000379,0.004507,0.051544,0.049494,0.036364,0.000121,0.026337,0.042688,0.001759,0,0.060336,0.120387,0.02725,0.004507,0.02066,0.019158,0.019158,0.095094,0.052207,0.055163,12,18,11,20,19
54,0.005262,0.121695,0.024262,0.141513,0.033398,0.000354,0.100117,0.1655,0.000035,0,0.104682,0.05708,0.058038,0.121695,0.016276,0.136725,0.136725,0.094834,0.079755,0.070066,8,4,16,17,2
55,0.035227,0.010198,0.008988,0.003587,0.001721,0.013149,0.050377,0.018708,0.05294,0.000992,0.011163,0.009387,0.020351,0.010198,0.018708,0.006137,0.006137,0.008946,0.000065,0.00006,9,7,1,13,8
56,0.202351,0.199444,0,0.146613,0.337661,0.202351,0.105681,0.260803,0.073435,0.041695,0.202351,0,0.146613,0.199444,0.221963,0,0,0.202351,0.121792,0.146613,5,8,15,1,6
