0.031402,0.022694,0.725634,0.031402,0.031402
0.043074,0.044097,0.669637,0.022151,0.043619
0.020245,0.009969,0.805549,0.028163,0.020245
0.016600,0.042593,0.616765,0.042949,0.011266
0.023949,0.024855,0.662990,0.010791,0.022862
0.073718,0.017311,0.817507,0.016930,0.073718
0.000000,0.046167,0.473205,0.044850,0.000000
0.030868,0.038741,0.896425,0.036622,0.031337
0.070397,0.121508,0.497138,0.101226,0.059158
0.037464,0.095784,0.728106,0.089343,0.035859
0.051088,0.093086,0.705165,0.093391,0.047105
0.220149,0.004261,0.826509,0.063576,0.220149
0.000000,0.008230,0.764928,0.000000,0.000000
0.025431,0.112579,0.249592,0.016617,0.015135
0.000000,0.005622,0.851865,0.000000,0.000000
0.000000,0.013094,0.775132,0.000000,0.000000
0.016040,0.022995,0.525404,0.001320,0.003788
0.008879,0.025139,0.626159,0.000523,0.000000
0.001213,0.035235,0.631119,0.005442,0.000000
0.005433,0.008337,0.783694,0.005433,0.005433
0.004057,0.000953,0.902547,0.012120,0.004057
0.074074,0.009259,0.642512,0.030864,0.000000
0.043162,0.049006,0.650085,0.108822,0.043162
0.032276,0.051085,0.522296,0.138870,0.032951
0.129258,0.184309,0.030661,0.128883,0.052388
0.029279,0.075049,0.377940,0.029907,0.009345
0.047137,0.137153,0.298843,0.073540,0.005992
0.027334,0.082434,0.264965,0.030226,0.010245
0.132554,0.142222,0.486532,0.119342,0.132554
0.020202,0.050505,0.378479,0.121212,0.000000
0.075450,0.025144,0.758052,0.099243,0.060906
0.026828,0.008431,0.830628,0.037418,0.018972
0.030157,0.008554,0.811429,0.057693,0.028816
0.118899,0.009886,0.828382,0.140633,0.106537
0.023964,0.009089,0.758206,0.046452,0.020110
0.004158,0.013162,0.837277,0.049406,0.000000
0.075976,0.018595,0.759013,0.065543,0.075976
0.000000,0.018689,0.682667,0.000000,0.000000
0.000000,0.050370,0.711111,0.043243,0.000000
0.000000,0.208696,0.184615,0.160000,0.000000
0.000000,0.011633,0.820400,0.012649,0.000000
0.014709,0.067086,0.590078,0.017798,0.015334
0.012876,0.064390,0.543108,0.037946,0.007767
0.000000,0.010860,0.797457,0.082493,0.000000
0.000000,0.041739,0.268889,0.000000,0.000000
0.000000,0.070028,0.552381,0.046032,0.000000
0.013933,0.008983,0.830559,0.279642,0.011581
0.110480,0.165883,0.211337,0.048836,0.091359
0.033861,0.049273,0.534288,0.014416,0.032803
0.000000,0.212202,0.301166,0.137904,0.000000
0.000000,0.053704,0.144928,0.095238,0.000000
0.049410,0.012508,0.779532,0.336410,0.045624
0.056407,0.015217,0.769300,0.410759,0.055836
0.063708,0.170808,0.144552,0.326152,0.052207
0.042611,0.070103,0.376807,0.059673,0.051029
0.051724,0.053973,0.392337,0.210181,0.000000
